Query,Desired Paragraph Index
Actual cash value,144
Motorized vehicle registration,174
Punitive and Exemplary Damages,561
faulty  materials  used  in its construction,688
electronic data processing,482
devices permanently installed in a motorized vehicle,193
Business interruption,874
Credit cards,197
fund transfer cards,197
REMOVAL OF FALLEN TREES,201
DEBRIS  AND VOLCANIC ASH,207
EMERGENCY MEASURES,622
FOOD SPOILAGE,210
FORGERY coverage,211
ABRUPT COLLAPSE,212
automatic fire alarm,942
Rights of Third Parties,593
Payments on Account,532
ground  heave  or landslip,944
faulty  materials,932
Ontario Automobile Policy,48
business in the UK,1203
Computer damage,853
